year,geo_name,geo,acs_occ_name,acs_occ,num_emp,num_emp_moe,num_emp_rca
2013.0,"Ann Arbor, MI","16000US2603000","Management","0000000000",5297.0,497.932,0.98497
2013.0,"Ann Arbor, MI","16000US2603000","Business & Financial Operations","0000010000",2326.0,264.252,0.823983
2013.0,"Ann Arbor, MI","16000US2603000","Computer & Mathematical","0001000000",2964.0,290.739,1.89364
2013.0,"Ann Arbor, MI","16000US2603000","Architecture & Engineering","0001010000",2198.0,289.436,2.10264
2013.0,"Ann Arbor, MI","16000US2603000","Life, Physical, & Social Science","0001020000",3525.0,363.552,6.68035
2013.0,"Ann Arbor, MI","16000US2603000","Community & Social Service","0002000000",1263.0,228.589,1.28109
2013.0,"Ann Arbor, MI","16000US2603000","Legal","0002010000",734.0,159.455,1.00048
2013.0,"Ann Arbor, MI","16000US2603000","Education, Training, & Library","0002020000",10356.0,672.521,2.91766
2013.0,"Ann Arbor, MI","16000US2603000","Arts & Recreation","0002030000",2113.0,303.2,1.77641
2013.0,"Ann Arbor, MI","16000US2603000","Health Practitioners","0003000000",3636.0,374.897,1.69224
2013.0,"Ann Arbor, MI","16000US2603000","Health Technicians","0003010000",681.0,175.866,0.699613
2013.0,"Ann Arbor, MI","16000US2603000","Healthcare Support","0100000000",1036.0,204.167,0.691395
2013.0,"Ann Arbor, MI","16000US2603000","Law Enforcement Supervisors","0101000000",409.0,130.208,0.5435
2013.0,"Ann Arbor, MI","16000US2603000","Fire Fighting Supervisors","0101010000",58.0,58.1808,0.104248
2013.0,"Ann Arbor, MI","16000US2603000","Food & Serving","0102000000",4339.0,428.422,1.24089
2013.0,"Ann Arbor, MI","16000US2603000","Cleaning & Maintenance","0103000000",1112.0,213.354,0.464575
2013.0,"Ann Arbor, MI","16000US2603000","Personal Care & Service","0104000000",1763.0,304.105,0.806665
2013.0,"Ann Arbor, MI","16000US2603000","Sales","0200000000",4226.0,401.759,0.661327
2013.0,"Ann Arbor, MI","16000US2603000","Administrative","0201000000",5560.0,438.0,0.698855
2013.0,"Ann Arbor, MI","16000US2603000","Farming, Fishing, & Forestry","0300000000",45.0,38.0132,0.134659
